Row #,Species,Count,Location,S/P,Date,LocID,SubID
83,Black Eagle,1,"Manchanabele, Bangalore",IN-KA,06 Sep 2015,L3853140,S24947787
84,Indian Spotted Eagle,1,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
85,Greater Spotted Eagle,1,"Kaikondrahalli Kere, Bangalore",IN-KA,25 Jan 2015,L2525724,S21547422
86,Booted Eagle,1,"Savanadurga State Forest, Karnataka",IN-KA,06 Sep 2015,L3894016,S24947802
87,Tawny Eagle,1,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
88,Golden Eagle,1,Tso Kar,IN-JK,12 Jul 2017,L2424236,S38588355
89,Bonelli's Eagle,2,Bande,IN-KA,20 Feb 2016,L4298778,S31560423
90,White-eyed Buzzard,1,"Galibore Fishing Camp, Karnataka",IN-KA,19 Apr 2015,L3556994,S22938127
91,Eurasian Marsh-Harrier,3,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
92,Eastern Marsh-Harrier,2,"Teesta Barrage, Gajoldoba",IN-WB,17 Dec 2016,L2648520,S33129670
93,Pallid Harrier,1,Bellary Bangalore Road,IN-KA,12 Nov 2015,L4936902,S31672326
94,Pied Harrier,1,"Fulbari Wetland, Siliguri",IN-WB,17 Dec 2016,L2640157,S33145995
95,Montagu's Harrier,1,Hessaraghatta Grasslands,IN-KA,06 Oct 2016,L4170003,S31971749
96,Crested Goshawk,1,Dr Salim Ali Bird Sanctuary Thattekad,IN-KL,03 Oct 2015,L3953611,S25388771
97,Shikra,1,Gulakamale Lake,IN-KA,18 Jan 2015,L3270308,S21391759
98,Black Kite,1,"Hulimangala, Bangalore",IN-KA,16 Nov 2014,L2591349,S32125659
99,Brahminy Kite,1,"Old Magazine House, Ganeshgudi",IN-KA,15 Jan 2014,L2034087,S23676592
100,Bald Eagle,1,San Francisco Zoo,US-CA,30 Aug 2010,L638260,S32587693
101,Pallas's Fish-Eagle,1,Kaziranga NP--Western Range,IN-AS,27 Dec 2015,L1131604,S26580943
102,White-bellied Sea-Eagle,2,Gangolli ,IN-KA,19 Feb 2017,L5662322,S35750338
103,Lesser Fish-Eagle,1,Cauvery WLS--Galibore,IN-KA,11 Apr 2015,L3025529,S22813096
104,Gray-headed Fish-Eagle,1,Kaziranga NP--Eastern Range,IN-AS,28 Dec 2015,L1131599,S30342446
105,Upland Buzzard,1,Tso Kar,IN-JK,12 Jul 2017,L2424236,S38588355
106,Slaty-breasted Rail,1,Hoskote Lake,IN-KA,23 Apr 2017,L1967106,S36817918
107,White-breasted Waterhen,2,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
108,Ruddy-breasted Crake,1,Hennagara Lake,IN-KA,29 Mar 2016,L2638593,S30464585
109,Brown Crake,1,Daroji Bear Sanctuary,IN-KA,10 Nov 2015,L2607098,S26601607
110,Baillon's Crake,1,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
111,Gray-headed Swamphen,,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
112,Eurasian Moorhen,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
113,Eurasian Coot,,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
114,Limpkin,1,Naples beach,US-FL,22 Oct 2014,L3357295,S21780768
115,Demoiselle Crane,1,"Hulimangala, Bangalore",IN-KA,15 Dec 2015,L2591349,S26329322
116,Sarus Crane,1,"Alipore Zoo, Kolkata",IN-WB,08 Feb 2006,L2715112,S31717230
117,Black-necked Crane,2,Tso Kar,IN-JK,12 Jul 2017,L2424236,S38588355
118,Indian Thick-knee,2,Ranganthittu Bird Santuary,IN-KA,05 Apr 2015,L3540081,S22696819
119,Great Thick-knee,4,Ranganathittu Bird Sanctuary,IN-KA,13 Dec 2015,L2579365,S26601019
120,Black-winged Stilt,4,Kavdi ,IN-MH,23 Dec 2014,L4775757,S30628576
121,Eurasian Oystercatcher,7,Gangolli ,IN-KA,19 Feb 2017,L5662322,S35750338
122,Black-bellied Plover,10,Kundapur estuary ,IN-KA,19 Feb 2017,L5719706,S36091649
123,Pacific Golden-Plover,10,"Teesta Barrage, Gajoldoba",IN-WB,17 Dec 2016,L2648520,S33129670
124,Northern Lapwing,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
125,River Lapwing,3,Kaziranga NP--Eastern Range,IN-AS,28 Dec 2015,L1131599,S30342446
126,Yellow-wattled Lapwing,1,Hessaraghatta Lake,IN-KA,11 Oct 2015,L2525708,S25388342
127,Gray-headed Lapwing,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
128,Red-wattled Lapwing,3,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
129,Lesser Sand-Plover,10,Muzhappilangad Beach,IN-KL,27 Mar 2016,L3077663,S31459805
130,Greater Sand-Plover,2,Morjim Beach,IN-GA,14 Jan 2017,L2286170,S33797574
131,Kentish Plover,10,Muzhappilangad Beach,IN-KL,27 Mar 2016,L3077663,S31459805
132,Little Ringed Plover,2,Kavdi ,IN-MH,23 Dec 2014,L4775757,S30628576
133,Greater Painted-Snipe,1,"Avathanapatti Lake, Krishnagiri",IN-TN,02 Jul 2016,L2777256,S30522108
134,Pheasant-tailed Jacana,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
135,Bronze-winged Jacana,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
136,Whimbrel,2,Muzhappilangad Beach,IN-KL,27 Mar 2016,L3077663,S31459805
137,Eurasian Curlew,4,Pulicat Bird Sanctuary--SHAR,IN-AP,06 Mar 2016,L3167817,S31729829
138,Bar-tailed Godwit,4,Gangolli ,IN-KA,19 Feb 2017,L5662322,S35750338
139,Black-tailed Godwit,1,Dhanagere Lake,IN-KA,22 Feb 2015,L3439139,S22071722
140,Ruddy Turnstone,4,"Mattu, Udupi, Karnataka, IN",IN-KA,25 Dec 2016,L3115004,S33581846
141,Broad-billed Sandpiper,2,Gangolli ,IN-KA,19 Feb 2017,L5662322,S35750338
142,Curlew Sandpiper,1,"Kodi, Kundapura, Karnataka, India",IN-KA,25 Dec 2016,L3112538,S33362200
143,Temminck's Stint,1,"Madhure Kere, Bangalore",IN-KA,13 Mar 2016,L2525563,S28482414
144,Sanderling,2,Morjim Beach,IN-GA,14 Jan 2017,L2286170,S33797574
